"ID","x","EVID","PRED","WT"
1000001,0,1,0,30
1000001,0.1,0,0.0348074289482223,30
1000001,0.2,0,0.0686524725031766,30
1000001,0.3,0,0.101560364023905,30
1000001,0.4,0,0.133555676958415,30
1000001,0.5,0,0.16466234227531,30
1000001,0.6,0,0.19490366538581,30
1000001,0.7,0,0.224302342853049,30
1000001,0.8,0,0.252880477510249,30
1000001,0.9,0,0.280659594339466,30
1000001,1,0,0.307660655693482,30
1000001,1.1,0,0.333904076093548,30
1000001,1.2,0,0.359409735894738,30
1000001,1.3,0,0.384196996179987,30
1000001,1.4,0,0.408284711817097,30
1000001,1.5,0,0.431691244642217,30
1000001,1.6,0,0.454434476587473,30
1000001,1.7,0,0.47653182194685,30
1000001,1.8,0,0.498000239850066,30
1000001,1.9,0,0.518856246028059,30
1000001,2,0,0.539115924371781,30
1000001,2.1,0,0.558794938390159,30
1000001,2.2,0,0.577908541975445,30
1000001,2.3,0,0.59647159039805,30
1000001,2.4,0,0.614498550494505,30
1000001,2.5,0,0.632003510659001,30
1000001,2.6,0,0.64900019070144,30
1000001,2.7,0,0.665501952164139,30
1000001,2.8,0,0.681521807299593,30
1000001,2.9,0,0.697072428076959,30
1000001,3,0,0.712166155293351,30
1000001,3.1,0,0.726815006740172,30
1000001,3.2,0,0.741030685999301,30
1000001,3.3,0,0.754824590881129,30
1000001,3.4,0,0.768207821389875,30
1000001,3.5,0,0.781191186874486,30
1000001,3.6,0,0.793785214010036,30
1000001,3.7,0,0.806000154406506,30
1000001,3.8,0,0.817845991681031,30
1000001,3.9,0,0.829332448271756,30
1000001,4,0,0.84046899238211,30
1000001,4.1,0,0.85126484470348,30
1000001,4.2,0,0.861728984854941,30
1000001,4.3,0,0.871870157569343,30
1000001,4.4,0,0.88169687889874,30
1000001,4.5,0,0.89121744223835,30
1000001,4.6,0,0.900439924126837,30
1000001,4.7,0,0.909372189857798,30
1000001,4.8,0,0.918021899036401,30
1000001,4.9,0,0.926396510985595,30
1000001,5,0,0.934503289977161,30
1000001,5.1,0,0.942349310261953,30
1000001,5.2,0,0.949941461075422,30
1000001,5.3,0,0.957286451510244,30
1000001,5.4,0,0.964390815215636,30
